"행정구역별(시군구)","주택의 종류별","항목","단위","2022 년","2023 년",
"종로구","계","(건축연도) 2018년","","5","X",
"종로구","계","(건축연도) 2017년","","111","137",
"종로구","계","(건축연도) 2016년","","X","6",
"종로구","계","(건축연도) 2015년","","16","31",
"종로구","계","(건축연도) 2014년","","21","42",
"종로구","계","(건축연도) 2013년","","65","68",
"종로구","계","(건축연도) 2012년","","26","27",
"종로구","계","(건축연도) 2011년","","20","11",
"종로구","계","(건축연도) 2010년","","12","7",
"종로구","계","(건축연도) 2005~2009년","","50","47",
"종로구","계","(건축연도) 2000~2004년","","379","360",
"종로구","계","(건축연도) 1990~1999년","","590","580",
"종로구","계","(건축연도) 1980~1989년","","210","223",
"종로구","계","(건축연도) 1979년 이전","","384","469",
"종로구","단독주택","주택_계","","212","243",
"종로구","단독주택","(건축연도) 2023년","","","X",
"종로구","단독주택","(건축연도) 2022년","","X","X",
"종로구","단독주택","(건축연도) 2021년","","X","X",
"종로구","단독주택","(건축연도) 2020년","","X","X",
"종로구","단독주택","(건축연도) 2019년","","X","X",
"종로구","단독주택","(건축연도) 2018년","","X","X",
"종로구","단독주택","(건축연도) 2017년","","X","X",
"종로구","단독주택","(건축연도) 2016년","","X","X",
"종로구","단독주택","(건축연도) 2015년","","X","X",
"종로구","단독주택","(건축연도) 2014년","","X","X",
"종로구","단독주택","(건축연도) 2013년","","X","X",
"종로구","단독주택","(건축연도) 2012년","","X","X",
"종로구","단독주택","(건축연도) 2011년","","X","X",
"종로구","단독주택","(건축연도) 2010년","","X","X",
"종로구","단독주택","(건축연도) 2005~2009년","","X","X",
"종로구","단독주택","(건축연도) 2000~2004년","","X","X",
"종로구","단독주택","(건축연도) 1990~1999년","","8","X",
"종로구","단독주택","(건축연도) 1980~1989년","","12","14",
"종로구","단독주택","(건축연도) 1979년 이전","","182","220",
"종로구","아파트","주택_계","","674","703",
"종로구","아파트","(건축연도) 2023년","","","47",
"종로구","아파트","(건축연도) 2022년","","43","X",
"종로구","아파트","(건축연도) 2021년","","70","X",
"종로구","아파트","(건축연도) 2020년","","X","X",
"종로구","아파트","(건축연도) 2019년","","X","X",
"종로구","아파트","(건축연도) 2018년","","X","X",
"종로구","아파트","(건축연도) 2017년","","111","134",
"종로구","아파트","(건축연도) 2016년","","X","X",
"종로구","아파트","(건축연도) 2015년","","X","16",
"종로구","아파트","(건축연도) 2014년","","8","33",
"종로구","아파트","(건축연도) 2013년","","59","61",
"종로구","아파트","(건축연도) 2012년","","18","19",
"종로구","아파트","(건축연도) 2011년","","11","6",
"종로구","아파트","(건축연도) 2010년","","X","X",
"종로구","아파트","(건축연도) 2005~2009년","","5","11",
"종로구","아파트","(건축연도) 2000~2004년","","121","102",
"종로구","아파트","(건축연도) 1990~1999년","","81","73",
"종로구","아파트","(건축연도) 1980~1989년","","29","41",
"종로구","아파트","(건축연도) 1979년 이전","","117","156",
"종로구","연립주택","주택_계","","309","305",
"종로구","연립주택","(건축연도) 2023년","","","X",
"종로구","연립주택","(건축연도) 2022년","","X","X",
"종로구","연립주택","(건축연도) 2021년","","X","X",
"종로구","연립주택","(건축연도) 2020년","","X","X",
"종로구","연립주택","(건축연도) 2019년","","8","8",
"종로구","연립주택","(건축연도) 2018년","","X","X",
"종로구","연립주택","(건축연도) 2017년","","X","X",
"종로구","연립주택","(건축연도) 2016년","","X","X",
"종로구","연립주택","(건축연도) 2015년","","X","X",
"종로구","연립주택","(건축연도) 2014년","","11","6",
"종로구","연립주택","(건축연도) 2013년","","X","X",
"종로구","연립주택","(건축연도) 2012년","","X","X",
"종로구","연립주택","(건축연도) 2011년","","X","X",
"종로구","연립주택","(건축연도) 2010년","","X","X",
"종로구","연립주택","(건축연도) 2005~2009년","","7","6",
"종로구","연립주택","(건축연도) 2000~2004년","","42","54",
"종로구","연립주택","(건축연도) 1990~1999년","","137","138",
"종로구","연립주택","(건축연도) 1980~1989년","","100","90",
"종로구","연립주택","(건축연도) 1979년 이전","","X","X",
"종로구","다세대주택","주택_계","","705","775",
"종로구","다세대주택","(건축연도) 2023년","","","27",
"종로구","다세대주택","(건축연도) 2022년","","X","X",
"종로구","다세대주택","(건축연도) 2021년","","5","36",
"종로구","다세대주택","(건축연도) 2020년","","X","X",
"종로구","다세대주택","(건축연도) 2019년","","X","8",
"종로구","다세대주택","(건축연도) 2018년","","X","X",
"종로구","다세대주택","(건축연도) 2017년","","X","X",
"종로구","다세대주택","(건축연도) 2016년","","X","5",
"종로구","다세대주택","(건축연도) 2015년","","15","15",
"종로구","다세대주택","(건축연도) 2014년","","X","X",
"종로구","다세대주택","(건축연도) 2013년","","5","5",
"종로구","다세대주택","(건축연도) 2012년","","7","7",
"종로구","다세대주택","(건축연도) 2011년","","6","X",
"종로구","다세대주택","(건축연도) 2010년","","10","7",
"종로구","다세대주택","(건축연도) 2005~2009년","","32","26",
"종로구","다세대주택","(건축연도) 2000~2004년","","205","194",
"종로구","다세대주택","(건축연도) 1990~1999년","","335","345",
"종로구","다세대주택","(건축연도) 1980~1989년","","51","57",
"종로구","다세대주택","(건축연도) 1979년 이전","","23","29",
"종로구","비주거용 건물 내 주택","주택_계","","121","118",
"종로구","비주거용 건물 내 주택","(건축연도) 2023년","","","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2022년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2021년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2020년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2019년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2018년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2017년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2016년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2015년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2014년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2013년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2012년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2011년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2010년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2005~2009년","","X","X",
"종로구","비주거용 건물 내 주택","(건축연도) 2000~2004년","","7","7",
"종로구","비주거용 건물 내 주택","(건축연도) 1990~1999년","","29","22",
"종로구","비주거용 건물 내 주택","(건축연도) 1980~1989년","","18","21",
"종로구","비주거용 건물 내 주택","(건축연도) 1979년 이전","","59","61",
"중구","계","주택_계","","1583","1752",
"중구","계","(건축연도) 2023년","","","169",
"중구","계","(건축연도) 2022년","","5","23",
"중구","계","(건축연도) 2021년","","X","11",
"중구","계","(건축연도) 2020년","","27","44",
"중구","계","(건축연도) 2019년","","8","10",
"중구","계","(건축연도) 2018년","","6","7",
"중구","계","(건축연도) 2017년","","12","10",
"중구","계","(건축연도) 2016년","","78","162",
"중구","계","(건축연도) 2015년","","8","13",
"중구","계","(건축연도) 2014년","","77","78",
"중구","계","(건축연도) 2013년","","9","13",
"중구","계","(건축연도) 2012년","","9","29",
"중구","계","(건축연도) 2011년","","17","13",
"중구","계","(건축연도) 2010년","","5","21",
"중구","계","(건축연도) 2005~2009년","","163","185",
"중구","계","(건축연도) 2000~2004년","","382","190",
"중구","계","(건축연도) 1990~1999년","","301","169",
"중구","계","(건축연도) 1980~1989년","","53","46",
"중구","계","(건축연도) 1979년 이전","","423","559",
"중구","단독주택","주택_계","","35","49",
"중구","단독주택","(건축연도) 2023년","","","X",
"중구","단독주택","(건축연도) 2022년","","X","X",
"중구","단독주택","(건축연도) 2021년","","X","X",
"중구","단독주택","(건축연도) 2020년","","X","X",
"중구","단독주택","(건축연도) 2019년","","X","X",
"중구","단독주택","(건축연도) 2018년","","X","X",
"중구","단독주택","(건축연도) 2017년","","X","X",
"중구","단독주택","(건축연도) 2016년","","X","X",
"중구","단독주택","(건축연도) 2015년","","X","X",
"중구","단독주택","(건축연도) 2014년","","X","X",
"중구","단독주택","(건축연도) 2013년","","X","X",
"중구","단독주택","(건축연도) 2012년","","X","X",
"중구","단독주택","(건축연도) 2011년","","X","X",
"중구","단독주택","(건축연도) 2010년","","X","X",
"중구","단독주택","(건축연도) 2005~2009년","","X","X",
"중구","단독주택","(건축연도) 2000~2004년","","X","X",
"중구","단독주택","(건축연도) 1990~1999년","","X","X",
"중구","단독주택","(건축연도) 1980~1989년","","X","X",
"중구","단독주택","(건축연도) 1979년 이전","","27","41",
"중구","아파트","주택_계","","885","1390",
"중구","아파트","(건축연도) 2023년","","","169",
"중구","아파트","(건축연도) 2022년","","X","X",
"중구","아파트","(건축연도) 2021년","","X","8",
"중구","아파트","(건축연도) 2020년","","12","44",
"중구","아파트","(건축연도) 2019년","","X","X",
"중구","아파트","(건축연도) 2018년","","X","X",
"중구","아파트","(건축연도) 2017년","","7","6",
"중구","아파트","(건축연도) 2016년","","73","155",
"중구","아파트","(건축연도) 2015년","","X","X",
"중구","아파트","(건축연도) 2014년","","67","68",
"중구","아파트","(건축연도) 2013년","","X","8",
"중구","아파트","(건축연도) 2012년","","X","21",
"중구","아파트","(건축연도) 2011년","","14","11",
"중구","아파트","(건축연도) 2010년","","X","21",
"중구","아파트","(건축연도) 2005~2009년","","137","170",
"중구","아파트","(건축연도) 2000~2004년","","157","164",
"중구","아파트","(건축연도) 1990~1999년","","111","102",
"중구","아파트","(건축연도) 1980~1989년","","9","X",
"중구","아파트","(건축연도) 1979년 이전","","292","438",
"중구","연립주택","주택_계","","96","38",
"중구","연립주택","(건축연도) 2023년","","","X",
"중구","연립주택","(건축연도) 2022년","","X","X",
"중구","연립주택","(건축연도) 2021년","","X","X",
"중구","연립주택","(건축연도) 2020년","","X","X",
"중구","연립주택","(건축연도) 2019년","","X","X",
"중구","연립주택","(건축연도) 2018년","","X","X",
"중구","연립주택","(건축연도) 2017년","","X","X",
"중구","연립주택","(건축연도) 2016년","","X","X",
"중구","연립주택","(건축연도) 2015년","","X","X",
"중구","연립주택","(건축연도) 2014년","","X","X",
"중구","연립주택","(건축연도) 2013년","","X","X",
"중구","연립주택","(건축연도) 2012년","","X","X",
"중구","연립주택","(건축연도) 2011년","","X","X",
"중구","연립주택","(건축연도) 2010년","","X","X",
"중구","연립주택","(건축연도) 2005~2009년","","X","X",
"중구","연립주택","(건축연도) 2000~2004년","","20","X",
"중구","연립주택","(건축연도) 1990~1999년","","31","18",
"중구","연립주택","(건축연도) 1980~1989년","","5","10",
"중구","연립주택","(건축연도) 1979년 이전","","39","7",
"중구","다세대주택","주택_계","","471","179",
"중구","다세대주택","(건축연도) 2023년","","","X",
"중구","다세대주택","(건축연도) 2022년","","5","23",
"중구","다세대주택","(건축연도) 2021년","","X","X",
"중구","다세대주택","(건축연도) 2020년","","15","X",
"중구","다세대주택","(건축연도) 2019년","","8","8",
"중구","다세대주택","(건축연도) 2018년","","5","X",
"중구","다세대주택","(건축연도) 2017년","","5","X",
"중구","다세대주택","(건축연도) 2016년","","X","X",
"중구","다세대주택","(건축연도) 2015년","","8","13",
"중구","다세대주택","(건축연도) 2014년","","9","9",
"중구","다세대주택","(건축연도) 2013년","","8","5",
"중구","다세대주택","(건축연도) 2012년","","8","8",
"중구","다세대주택","(건축연도) 2011년","","X","X",
"중구","다세대주택","(건축연도) 2010년","","X","X",
"중구","다세대주택","(건축연도) 2005~2009년","","21","12",
"중구","다세대주택","(건축연도) 2000~2004년","","200","16",
"중구","다세대주택","(건축연도) 1990~1999년","","140","34",
"중구","다세대주택","(건축연도) 1980~1989년","","25","29",
"중구","다세대주택","(건축연도) 1979년 이전","","7","6",
"중구","비주거용 건물 내 주택","주택_계","","96","96",
"중구","비주거용 건물 내 주택","(건축연도) 2023년","","","X",
"중구","비주거용 건물 내 주택","(건축연도) 2022년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2021년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2020년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2019년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2018년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2017년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2016년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2015년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2014년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2013년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2012년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2011년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2010년","","X","X",
"중구","비주거용 건물 내 주택","(건축연도) 2005~2009년","","5","X",
"중구","비주거용 건물 내 주택","(건축연도) 2000~2004년","","5","6",
"중구","비주거용 건물 내 주택","(건축연도) 1990~1999년","","15","12",
"중구","비주거용 건물 내 주택","(건축연도) 1980~1989년","","10","6",
"중구","비주거용 건물 내 주택","(건축연도) 1979년 이전","","58","67",
"용산구","계","주택_계","","4488","5059",
"용산구","계","(건축연도) 2023년","","","42",
"용산구","계","(건축연도) 2022년","","76","42",
"용산구","계","(건축연도) 2021년","","25","27",
"용산구","계","(건축연도) 2020년","","100","117",
"용산구","계","(건축연도) 2019년","","16","11",
"용산구","계","(건축연도) 2018년","","19","10",
"용산구","계","(건축연도) 2017년","","42","54",
"용산구","계","(건축연도) 2016년","","22","17",
"용산구","계","(건축연도) 2015년","","10","15",
"용산구","계","(건축연도) 2014년","","45","45",
"용산구","계","(건축연도) 2013년","","32","50",
"용산구","계","(건축연도) 2012년","","41","84",
"용산구","계","(건축연도) 2011년","","91","145",
"용산구","계","(건축연도) 2010년","","39","43",
"용산구","계","(건축연도) 2005~2009년","","411","422",
"용산구","계","(건축연도) 2000~2004년","","777","831",
"용산구","계","(건축연도) 1990~1999년","","897","991",
"용산구","계","(건축연도) 1980~1989년","","411","486",
"용산구","계","(건축연도) 1979년 이전","","1434","1627",
"용산구","단독주택","주택_계","","142","324",
"용산구","단독주택","(건축연도) 2023년","","","X",
"용산구","단독주택","(건축연도) 2022년","","X","X",
"용산구","단독주택","(건축연도) 2021년","","X","X",
"용산구","단독주택","(건축연도) 2020년","","X","X",
"용산구","단독주택","(건축연도) 2019년","","X","X",
"용산구","단독주택","(건축연도) 2018년","","X","X",
"용산구","단독주택","(건축연도) 2017년","","X","X",
"용산구","단독주택","(건축연도) 2016년","","X","X",
"용산구","단독주택","(건축연도) 2015년","","X","X",
"용산구","단독주택","(건축연도) 2014년","","X","X",
"용산구","단독주택","(건축연도) 2013년","","X","X",
"용산구","단독주택","(건축연도) 2012년","","X","X",
"용산구","단독주택","(건축연도) 2011년","","X","X",
"용산구","단독주택","(건축연도) 2010년","","X","X",
"용산구","단독주택","(건축연도) 2005~2009년","","X","X",
"용산구","단독주택","(건축연도) 2000~2004년","","X","X",
"용산구","단독주택","(건축연도) 1990~1999년","","X","X",
"용산구","단독주택","(건축연도) 1980~1989년","","14","18",
"용산구","단독주택","(건축연도) 1979년 이전","","123","301",
"용산구","아파트","주택_계","","2629","2708",
"용산구","아파트","(건축연도) 2023년","","","X",
"용산구","아파트","(건축연도) 2022년","","40","9",
"용산구","아파트","(건축연도) 2021년","","9","5",
"용산구","아파트","(건축연도) 2020년","","88","95",
"용산구","아파트","(건축연도) 2019년","","X","X",
"용산구","아파트","(건축연도) 2018년","","X","X",
"용산구","아파트","(건축연도) 2017년","","31","44",
"용산구","아파트","(건축연도) 2016년","","X","X",
"용산구","아파트","(건축연도) 2015년","","X","X",
"용산구","아파트","(건축연도) 2014년","","38","37",
"용산구","아파트","(건축연도) 2013년","","7","13",
"용산구","아파트","(건축연도) 2012년","","33","59",
"용산구","아파트","(건축연도) 2011년","","85","127",
"용산구","아파트","(건축연도) 2010년","","27","30",
"용산구","아파트","(건축연도) 2005~2009년","","286","296",
"용산구","아파트","(건축연도) 2000~2004년","","441","432",
"용산구","아파트","(건축연도) 1990~1999년","","305","263",
"용산구","아파트","(건축연도) 1980~1989년","","143","184",
"용산구","아파트","(건축연도) 1979년 이전","","1093","1107",
"용산구","연립주택","주택_계","","393","431",
"용산구","연립주택","(건축연도) 2023년","","","X",
"용산구","연립주택","(건축연도) 2022년","","X","X",
"용산구","연립주택","(건축연도) 2021년","","X","X",
"용산구","연립주택","(건축연도) 2020년","","X","X",
"용산구","연립주택","(건축연도) 2019년","","X","X",
"용산구","연립주택","(건축연도) 2018년","","5","X",
"용산구","연립주택","(건축연도) 2017년","","X","X",
"용산구","연립주택","(건축연도) 2016년","","X","X",
"용산구","연립주택","(건축연도) 2015년","","X","X",
"용산구","연립주택","(건축연도) 2014년","","X","X",
"용산구","연립주택","(건축연도) 2013년","","5","10",
"용산구","연립주택","(건축연도) 2012년","","X","X",
"용산구","연립주택","(건축연도) 2011년","","X","11",
"용산구","연립주택","(건축연도) 2010년","","X","X",
"용산구","연립주택","(건축연도) 2005~2009년","","24","26",
"용산구","연립주택","(건축연도) 2000~2004년","","110","123",
"용산구","연립주택","(건축연도) 1990~1999년","","168","170",
"용산구","연립주택","(건축연도) 1980~1989년","","46","43",
"용산구","연립주택","(건축연도) 1979년 이전","","30","34",
"용산구","다세대주택","주택_계","","1232","1495",
