행정구역,소멸위험지수_역수처리,다세대주택,단독주택,폐가계산값,폐가지수,방문자,방문자지수,가중치점수,최종점수
경기도 양평군,0.2998210656737196,1032.0,4324.0,3336.4,0.4962296422993976,58970236.5,0.1362011434726879,2.7153919683214145,56.6096378799389
경상북도 문경시,0.4040498554393657,214.0,2451.0,1779.9,0.2647281921618205,24364914.0,0.050154019993945,2.7141258136944004,56.591129767734735
충청북도 옥천군,0.4424016944522135,165.0,1554.0,1137.3,0.1691529709228824,23198980.0,0.0472548917784497,2.6249576014728153,55.28770659837578
충청남도 예산군,0.4014278337293685,794.0,1979.0,1623.5,0.2414664981036662,33728051.0,0.0734357277597775,2.584667207438286,54.69875867872134
전라남도 장성군,0.4020722514659797,28.0,1833.0,1291.5,0.1920874544508068,18993068.5,0.0367967726211679,2.513030075439983,53.651597416802346
경상남도 거창군,0.3522244398830263,148.0,2573.0,1845.5,0.2744850152450361,20006469.0,0.0393166219292309,2.505944001291778,53.54801618539206
경상북도 울진군,0.3648983601273993,290.0,2271.0,1676.6999999999998,0.2493790436528593,20536838.0,0.0406353996066329,2.491358132382308,53.33480612983333
전라남도 담양군,0.3842893866198274,112.0,2105.0,1507.1,0.2241540864133264,25812979.5,0.0537546762480172,2.4863998398430818,53.26232790900698
경상북도 경주시,0.226039622586318,866.0,5672.0,4230.2,0.6291663568082101,111444606.0,0.266680163046503,2.484336857263214,53.23217210319244
경상남도 함안군,0.3897830806922602,150.0,1853.0,1342.1,0.199613296646092,24263085.0,0.0499008192749887,2.4479536548495995,52.700337856212855
경상북도 예천군,0.3468314719431603,140.0,2353.0,1689.1,0.2512233211868818,18854955.0,0.0364533494558852,2.4149206243646764,52.217475003908554
경상북도 안동시,0.2295269818716914,344.0,4679.0,3378.4999999999995,0.5024912619915223,60863110.0,0.1409078275321745,2.373293040268675,51.6089806061479
인천광역시 옹진군,0.4144165316718765,374.0,428.0,411.8,0.061247861976649,10165820.0,0.0148475669272447,2.22613111043484,49.4578298292731
제주특별자치도 제주시,0.062862982772614,5103.0,7418.0,6723.499999999999,1.0,228501154.0,0.5577446153356385,2.198825683191793,49.05869065589381
부산광역시 영도구,0.2926309633456176,889.0,2547.0,2049.6,0.3048412285268089,41635492.5,0.0930978070584587,2.1914828881915973,48.951356787773584
경상북도 영천시,0.3503918928480375,168.0,1727.0,1259.3,0.1872982821447163,31492895.0,0.0678779484809902,2.178098413712356,48.75570820728411
충청남도 논산시,0.3032092621102147,268.0,2618.0,1913.0,0.2845244292407228,42708358.0,0.0957655177886385,2.1780885626959647,48.755564209297766
경기도 가평군,0.2980974291214873,909.0,2370.0,1931.7,0.2873057187476761,42095966.5,0.0942427888206356,2.1639187242091933,48.548435510296414
경상북도 영주시,0.332052083362542,188.0,1767.0,1293.3,0.1923551721573585,33565532.0,0.0730316196211915,2.0912626940424026,47.4863804263871
전라남도 여수시,0.1535169212412965,496.0,5289.0,3851.1,0.5727820331672493,84332818.5,0.1992659285239974,2.0873988486602353,47.42990037067597
전라남도 영암군,0.3191289183339287,110.0,1824.0,1309.8,0.1948092511340819,23283449.0,0.047464926361226,2.0851424923494375,47.3969179095438
전라남도 화순군,0.2699306610205448,28.0,2625.0,1845.9,0.2745445080687142,27613414.5,0.0582315093351947,2.0568238106384773,46.982967411399436
경상북도 김천시,0.218176180552693,245.0,3555.0,2562.0,0.3810515356585112,41319159.0,0.0923112347693271,2.0494130402003443,46.874639907110584
충청남도 보령시,0.3185769070926889,290.0,2001.0,1487.6999999999998,0.2212686844649364,46096064.0,0.1041891455843823,2.048312297689489,46.858549719179244
경상남도 통영시,0.2352617307548966,269.0,3136.0,2275.9,0.3384992935227188,42796194.0,0.0959839245131497,1.9998386853163397,46.14998297890771
경상남도 사천시,0.2360017139577615,212.0,2948.0,2127.2,0.3163828363203688,37587718.0,0.0830329000715174,1.963091278606879,45.61282494774811
전라남도 영광군,0.3034069335689176,76.0,1543.0,1102.9,0.164036588086562,19480800.5,0.0380095321794276,1.933125367745419,45.17479595137536
부산광역시 남구,0.1270589472548353,4419.0,3281.0,3622.4,0.5387670112292705,80759948.5,0.1903818851499327,1.870831999662123,44.264217873894076
충청남도 홍성군,0.2297914738656897,505.0,2413.0,1840.6,0.2737562281549788,32829846.0,0.0712023153549596,1.8278214230834657,43.635507477628664
전라남도 나주시,0.1472952050899963,199.0,3963.0,2833.8,0.4214769093478099,43343657.0,0.097345206910129,1.8062163396731532,43.31969351667412
충청남도 공주시,0.2545088800256554,334.0,2144.0,1601.0,0.2381200267717707,44755364.5,0.100855457958024,1.7851935645275412,43.012391491363566
경상북도 울릉군,0.3420401085744667,0.0,135.0,94.5,0.0140551795939614,4194617.0,0.0,1.7523660816542177,42.532533247009674
제주특별자치도 서귀포시,0.1542728035060171,1865.0,3812.0,3227.9,0.4800922138767011,98908414.5,0.2355085645748035,1.7406235300105817,42.36088559928434
충청북도 제천시,0.207171888469959,120.0,2503.0,1788.1,0.2659477950472224,39717898.5,0.0883296547691657,1.6570435179531307,41.13914837368801
충청북도 충주시,0.1664735788702178,1094.0,3252.0,2604.5999999999995,0.3873875213802334,83717445.0,0.1977357847277636,1.5990588890362623,40.2915536208728
전라남도 순천시,0.0837986802771168,515.0,4773.0,3495.6,0.5199077861232989,90307143.5,0.2141212583934746,1.5504742429685316,39.581363837069375
경기도 연천군,0.3049473322466518,294.0,130.0,179.2,0.0266527850078084,18882139.5,0.0365209444921172,1.53165312727245,39.306244737333515
전라남도 무안군,0.1228030307195308,131.0,3377.0,2403.2,0.3574328846582881,35333242.0,0.0774270810605296,1.531459645451459,39.30341650200114
인천광역시 동구,0.1755769559865607,519.0,2065.0,1601.2,0.2381497731836097,18917685.5,0.0366093306370859,1.5191154382094607,39.12297410750066
경상남도 진주시,0.100321417576627,350.0,4024.0,2921.8,0.4345653305570016,85689187.5,0.2026385788099682,1.4000259219342033,37.382173985197134
충청북도 음성군,0.2294081056526861,592.0,1068.0,925.2,0.1376069011675466,41933661.0,0.0938392115559018,1.3721828086542665,36.97517514500539
