행정구역,소멸위험,폐가,방문자,가중치점수,최종점수
경상북도 울진군,0.3648983601273993,0.2277572396796056,0.0406353996066329,2.46712812006918,47.41342689812533
경상남도 거창군,0.3522244398830263,0.2469192852741836,0.0393166219292309,2.4625634333084516,47.3355703257892
경상남도 함안군,0.3897830806922602,0.1804990757855822,0.0499008192749887,2.440511811543059,46.9594517058048
경상북도 예천군,0.3468314719431603,0.2260936537276648,0.0364533494558852,2.3759849714429104,45.85886389831257
경상북도 안동시,0.2295269818716914,0.4536352433764634,0.1409078275321745,2.3676328119556724,45.71640713328862
인천광역시 옹진군,0.4144165316718765,0.062600123228589,0.0148475669272447,2.245035461117905,43.62535247520403
부산광역시 영도구,0.2926309633456176,0.2901725200246458,0.0930978070584587,2.240574569743567,43.549266265968875
경기도 가평군,0.2980974291214873,0.2750462107208872,0.0942427888206356,2.2213829889494625,43.22192930361784
충청남도 논산시,0.3032092621102147,0.2584719654959951,0.0957655177886385,2.1956966892504206,42.783816601609175
경상북도 영천시,0.3503918928480375,0.1699630314232902,0.0678779484809902,2.193970610029068,42.75437611230522
부산광역시 남구,0.1270589472548353,0.5755083179297596,0.1903818851499327,2.171437804913523,42.370050294703155
전라남도 여수시,0.1535169212412965,0.5193776956253852,0.1992659285239974,2.1264517645586407,41.60275582553197
경상북도 영주시,0.332052083362542,0.1748921749845964,0.0730316196211915,2.1119053221453075,41.354647640819145
충청남도 보령시,0.3185769070926889,0.2028034504004929,0.1041891455843823,2.097105741080541,41.10222185256429
전라남도 영암군,0.3191289183339287,0.1753542821934688,0.047464926361226,2.0742425118888237,40.71226022962955
경상북도 김천시,0.218176180552693,0.3436537276648183,0.0923112347693271,2.0295308509885928,39.94964565307277
전라남도 화순군,0.2699306610205448,0.2443314849044978,0.0582315093351947,2.024416250481023,39.86240959827622
경상남도 통영시,0.2352617307548966,0.3064078866296981,0.0959839245131497,1.9995483891504275,39.43825640967466
경상남도 사천시,0.2360017139577615,0.2855206407886629,0.0830329000715174,1.953537592083279,38.6534834037982
제주특별자치도 서귀포시,0.1542728035060171,0.4672211953173136,0.2355085645748035,1.937519038907223,38.38026648674677
전라남도 영광군,0.3034069335689176,0.1472889710412815,0.0380095321794276,1.9208920487890049,38.09667189926963
충청남도 홍성군,0.2297914738656897,0.2541281577325939,0.0712023153549596,1.8401395271712706,36.71933433588061
충청남도 공주시,0.2545088800256554,0.2187307455329636,0.100855457958024,1.8278811787691438,36.51025252170168
전라남도 나주시,0.1472952050899963,0.3785274183610597,0.097345206910129,1.7747130736230317,35.603402470150165
경상북도 울릉군,0.3420401085744667,0.0124768946395563,0.0,1.7476312267910024,35.14148692645635
인천광역시 미추홀구,0.0785286898504145,0.5417128773875539,0.2774356411838254,1.7403464402309086,35.01723557220161
충청북도 충주시,0.1664735788702178,0.3679605668515095,0.1977357847277636,1.738513810177854,34.985977722151844
경기도 평택시,0.0257295217521037,0.6477202711028959,0.4047146576106898,1.6670937644585164,33.76781747430391
충청북도 제천시,0.207171888469959,0.238724584103512,0.0883296547691657,1.6637035398911653,33.70999285717255
부산광역시 부산진구,0.0759226739045448,0.5454097350585336,0.3574345536756849,1.6584080210226397,33.61967100827993
전라남도 순천시,0.0837986802771168,0.4728589032655576,0.2141212583934746,1.6234488527887823,33.023397670572116
경기도 연천군,0.3049473322466518,0.0301293900184842,0.0365209444921172,1.5786038867965944,32.25850940513399
인천광역시 동구,0.1755769559865607,0.2228280961182994,0.0366093306370859,1.509759737650616,31.084284368705063
전라남도 무안군,0.1228030307195308,0.3201786814540973,0.0774270810605296,1.4971241168994163,30.868767691965854
경상남도 진주시,0.100321417576627,0.3934688847812693,0.2026385788099682,1.4793751634169747,30.566036583977237
충청북도 음성군,0.2294081056526861,0.1351817621688231,0.0938392115559018,1.458746603213998,30.21419009947127
경상남도 거제시,0.0778978964206815,0.4239679605668515,0.2560662802792713,1.4053270835246907,29.303051851249386
부산광역시 동구,0.1659447815814207,0.2192544670363524,0.113459108140457,1.3740282008757037,28.76920936681745
경기도 여주시,0.1935145944788343,0.1776648182378312,0.1269939806824752,1.3735734464251899,28.76145294789377
부산광역시 금정구,0.1495813879188238,0.265218730745533,0.1740422755039131,1.369520856326805,28.692330839262326
부산광역시 사하구,0.1406562132930183,0.27969808995687,0.1755999203062616,1.3667754160294399,28.645503842732072
부산광역시 서구,0.1719344429049866,0.1944547134935305,0.0877619678612973,1.3552743871442272,28.449339081757643
인천광역시 남동구,0.0663034835533019,0.4321626617375231,0.3295284995145594,1.2984769034645192,27.480585336229318
경기도 포천시,0.1859017383264677,0.1518176216882316,0.1412476303118421,1.243713926385191,26.54653270352731
대구광역시 서구,0.1856409681264838,0.1357979051139864,0.0969541530465975,1.2386444029277806,26.46006549548857
전라남도 목포시,0.1142466557219735,0.2880468268638324,0.2142375806870599,1.2211361785143047,26.161440329737353
인천광역시 부평구,0.0540311338863385,0.4152495378927912,0.3141358295752904,1.2017684535347755,25.831099002961555
경기도 부천시,0.0545830514542901,0.5106592729513247,0.6098330265100038,1.1950600496154211,25.716678592014485
충청남도 서산시,0.1520611289475184,0.1872766481823783,0.1328561421412825,1.1892794471434445,25.61808302169456
경기도 동두천시,0.1657100193103508,0.1292975970425138,0.0588855546239734,1.157557333055322,25.07702178362558
경상북도 칠곡군,0.1364100255678577,0.1784041897720271,0.0884236542524079,1.1288390429029618,24.587194605591502
울산광역시 울주군,0.1139717035532009,0.2385705483672212,0.19200154646164,1.093568616406028,23.98561236001232
부산광역시 중구,0.1623513810962636,0.1059149722735674,0.1242637747861846,1.0052380475158356,22.479021505748946
부산광역시 해운대구,0.1150798661448544,0.2584411583487369,0.3724189729197506,0.9783038328507319,22.019624017528788
부산광역시 수영구,0.0997794779458128,0.2147258163894023,0.1683560682671399,0.9747187706301308,21.958476194964245
충청남도 당진시,0.1549898515636598,0.1113986444855206,0.1526343000537479,0.956510891221113,21.64791751819111
부산광역시 연제구,0.1062287555084427,0.1839802834257548,0.1311212463922444,0.9519633814272335,21.57035392099919
경기도 광주시,0.0636118590566746,0.3086260012322859,0.2931066108615555,0.9508306881186752,21.551034387560197
부산광역시 동래구,0.1126955876285231,0.1957794208256315,0.2031402546003113,0.9476759460191987,21.497226225172618
서울특별시 은평구,0.0592038167612284,0.3073629081947012,0.2823619590696782,0.9357458493205675,21.293743163731232
충청북도 진천군,0.1087353503241469,0.1337338262476894,0.0633514482286554,0.8815267821351473,20.3689676100971
경기도 광명시,0.0576128638064318,0.264849044978435,0.213920979705589,0.8686904742618751,20.150027957750673
경상북도 경산시,0.0928873353581749,0.1845656192236599,0.2020103635800973,0.816123170881757,19.253425348927586
대구광역시 남구,0.1342108550217951,0.0865988909426987,0.1219744204613333,0.8088765274757383,19.12982457496237
대구광역시 동구,0.1188566186758944,0.1699014171287738,0.3101910104136824,0.7937963343521108,18.872612589054903
광주광역시 남구,0.0980410282151791,0.1359827479975354,0.112545169641044,0.7856082154274577,18.732953745683943
경상북도 구미시,0.0218374355697678,0.3051756007393715,0.243977421082186,0.7807365589847673,18.649861412713747
전라남도 광양시,0.0684748432592045,0.1759704251386321,0.0948468710473559,0.7754386206645629,18.55949829697752
대전광역시 동구,0.1127376690805885,0.125200246457178,0.1671207074073359,0.7721683773671407,18.50372011389758
대전광역시 중구,0.1196176378290166,0.121996303142329,0.1954415306983418,0.7686355678737281,18.443463528442468
울산광역시 중구,0.1074239919814752,0.1223659889094269,0.1498815450730133,0.7543363815626434,18.199572612869748
인천광역시 서구,0.0143067334565838,0.3670363524337647,0.4296264701082731,0.74301625447594,18.00649336349768
