,결합행정구역,다세대주택,단독주택,폐가지수_2023_raw,폐가지수_2023,폐가지수_2023_순위
176,경기도 안양시,1854.0,31.0,760.2,0.11709796672828097,177.0
177,경기도 의왕시,1690.0,135.0,757.0,0.11660505237215034,178.0
178,전라북도 무주군,53.0,1198.0,740.0,0.11398644485520641,179.0
179,충청북도 괴산군,96.0,1157.0,732.5999999999999,0.11284658040665434,180.0
180,서울특별시 강북구,1557.0,179.0,730.2,0.11247689463955639,181.0
181,충청남도 당진시,1037.0,514.0,723.2,0.11139864448552066,182.0
182,경기도 양주시,1600.0,138.0,722.8,0.11133703019100431,183.0
183,강원특별자치도 양양군,125.0,1115.0,719.0,0.1107516943930992,184.0
184,대구광역시 군위군,63.0,1136.0,706.8000000000001,0.10887245841035122,185.0
185,경기도 수원시 권선구,1698.0,41.0,703.8000000000001,0.10841035120147875,186.0
186,전라남도 신안군,35.0,1149.0,703.4,0.10834873690696242,187.0
187,경상북도 청송군,145.0,1060.0,694.0,0.10690080098582871,188.0
188,강원특별자치도 속초시,127.0,1070.0,692.8,0.10671595810227973,189.0
189,부산광역시 중구,1041.0,452.0,687.6,0.10591497227356747,190.0
190,광주광역시 서구,208.0,994.0,679.6,0.10468268638324092,191.0
191,경상북도 성주군,51.0,1088.0,673.1999999999999,0.10369685767097966,192.0
192,충청남도 천안시 서북구,1353.0,213.0,669.0,0.10304990757855823,193.0
193,대전광역시 대덕구,916.0,499.0,665.8,0.1025569932224276,194.0
194,대구광역시 수성구,505.0,771.0,664.5999999999999,0.10237215033887861,195.0
195,서울특별시 서대문구,1229.0,286.0,663.2,0.10215650030807148,196.0
196,강원특별자치도 영월군,158.0,994.0,659.6,0.10160197165742453,197.0
197,대구광역시 북구,348.0,864.0,657.6,0.1012939001848429,198.0
198,경기도 김포시,1282.0,232.0,652.0,0.1004313000616143,199.0
199,경상북도 고령군,73.0,1027.0,645.4,0.09941466420209488,200.0
200,서울특별시 동작구,848.0,505.0,642.2,0.09892174984596427,201.0
201,대전광역시 유성구,1094.0,324.0,632.0,0.0973505853357979,202.0
202,경기도 안성시,1060.0,289.0,597.4,0.09202094886013555,203.0
203,부산광역시 사상구,912.0,375.0,589.8,0.09085027726432532,204.0
204,서울특별시 강동구,1452.0,6.0,584.4000000000001,0.09001848428835492,205.0
205,경상북도 영양군,88.0,911.0,581.8000000000001,0.08961799137399878,206.0
206,대구광역시 중구,167.0,856.0,580.4,0.08940234134319162,207.0
