,도시레벨,연도,20~39세_여성,65세_이상_전체,지역소멸지수,소멸위험도
113,대전광역시 서구,2023,64155,142740,0.4494535519125683,0.03190021041794004
114,대전광역시 유성구,2023,51442,83586,0.615437992008231,0.002884968793847059
115,대전광역시 중구,2023,25019,101052,0.24758540157542652,0.11961763782901665
116,동해출장소,2023,0,0,,1.0
117,부산광역시 강서구,2023,16433,40280,0.40796921549155907,0.0428397708143078
118,부산광역시 금정구,2023,23155,107872,0.21465255117175913,0.14958138791882386
119,부산광역시 기장군,2023,18528,65748,0.2818032487680234,0.09590337732764183
120,부산광역시 남구,2023,28045,117590,0.23849817161323242,0.12705894725483535
121,부산광역시 동구,2023,10011,50026,0.2001159397113501,0.16594478158142073
122,부산광역시 동래구,2023,29459,114768,0.2566830475393838,0.11269558762852312
123,부산광역시 부산진구,2023,50453,158188,0.3189432826763092,0.07592267390454481
124,부산광역시 북구,2023,29365,118106,0.2486325842886898,0.11879507833458126
125,부산광역시 사상구,2023,22691,91252,0.24866304300179723,0.11877125677476909
126,부산광역시 사하구,2023,30803,137816,0.2235081558019388,0.14065621329301836
127,부산광역시 서구,2023,11399,58374,0.1952752937951828,0.1719344429049866
128,부산광역시 수영구,2023,23315,84604,0.2755779868564134,0.09977947794581281
129,부산광역시 연제구,2023,24516,92232,0.265807962529274,0.1062287555084427
130,부산광역시 영도구,2023,8817,67160,0.13128350208457415,0.2926309633456176
131,부산광역시 중구,2023,4792,23590,0.20313692242475626,0.16235138109626368
132,부산광역시 해운대구,2023,40193,158568,0.25347484990666463,0.11507986614485448
133,북부출장소,2023,0,0,,1.0
134,서울특별시 강남구,2023,76905,170018,0.4523344587043725,0.031215017839768003
135,서울특별시 강동구,2023,63731,164566,0.3872671147138534,0.049175612809693264
136,서울특별시 강북구,2023,36352,136332,0.26664319455447,0.10565893696166488
137,서울특별시 강서구,2023,91530,202528,0.4519375098751778,0.03130890893315383
138,서울특별시 관악구,2023,93888,168638,0.5567428456219832,0.011168035822445743
139,서울특별시 광진구,2023,58848,112068,0.5251097547917336,0.0164000008268423
140,서울특별시 구로구,2023,56144,155984,0.35993435224125553,0.05865712357748175
141,서울특별시 금천구,2023,35093,88584,0.3961550618621873,0.04637435186020959
142,서울특별시 노원구,2023,62929,191878,0.32796360187202284,0.0717529170462133
143,서울특별시 도봉구,2023,36913,139998,0.2636680524007486,0.10770513488383592
144,서울특별시 동대문구,2023,53646,132784,0.40400951921918304,0.044001408830273855
145,서울특별시 동작구,2023,62170,139156,0.44676478197131275,0.03254767770335441
146,서울특별시 마포구,2023,66321,113842,0.5825705802779291,0.00731758966263292
147,서울특별시 서대문구,2023,48464,114284,0.42406636099541495,0.03834077503336937
148,서울특별시 서초구,2023,56259,129318,0.43504384540435204,0.03546361572485322
149,서울특별시 성동구,2023,44263,97646,0.4533006984413084,0.030987158536332077
150,서울특별시 성북구,2023,62051,159378,0.3893322792355281,0.04851331768755593
151,서울특별시 송파구,2023,99122,215360,0.4602618870728083,0.029373840707132975
152,서울특별시 양천구,2023,52597,151364,0.34748685288443754,0.06346937566915324
153,서울특별시 영등포구,2023,65856,130494,0.5046668812359189,0.020130053668402745
154,서울특별시 용산구,2023,34755,76848,0.45225640224859465,0.031233467669558687
155,서울특별시 은평구,2023,66632,185876,0.35847554283500827,0.05920381676122845
156,서울특별시 종로구,2023,20830,56150,0.3709706144256456,0.054660556235966704
157,서울특별시 중구,2023,19860,50316,0.3947054614834248,0.046822620009010704
158,서울특별시 중랑구,2023,54240,156978,0.34552612467989147,0.06425901007317274
159,울산광역시 남구,2023,35125,94498,0.3717009883807065,0.05440443830441237
160,울산광역시 동구,2023,15117,50534,0.2991451300114774,0.08595628364298459
161,울산광역시 북구,2023,23699,46646,0.5080607126012948,0.0194900274368386
162,울산광역시 울주군,2023,20475,80308,0.2549559197091199,0.1139717035532009
163,울산광역시 중구,2023,20810,78804,0.2640728897010304,0.10742399198147527
164,인천광역시 강화군,2023,4243,51246,0.08279670608437732,0.5083200677467747
165,인천광역시 계양구,2023,33816,93722,0.36081176244638397,0.05833044050652113
166,인천광역시 남동구,2023,57989,170280,0.3405508574113225,0.06630348355330197
167,인천광역시 동구,2023,5848,30388,0.19244438594181915,0.1755769559865607
168,인천광역시 미추홀구,2023,49892,159118,0.31355346346736385,0.07852868985041457
169,인천광역시 부평구,2023,64754,173710,0.3727707098036958,0.05403113388633855
170,인천광역시 서구,2023,82806,154108,0.5373244737456848,0.014306733456583828
171,인천광역시 서구검단출장소,2023,0,0,,1.0
172,인천광역시 연수구,2023,49727,94888,0.5240599443554507,0.01658446318925233
173,인천광역시 옹진군,2023,1267,12842,0.09866064475938327,0.4144165316718765
174,인천광역시 중구,2023,21351,49432,0.43192668716620813,0.03626574379549723
175,인천광역시 중구영종출장소,2023,0,0,,1.0
176,인천광역시 중구용유출장소,2023,0,0,,1.0
177,전라남도 강진군,2023,2042,24984,0.08173230867755363,0.5159255177340797
178,전라남도 고흥군,2023,2909,54060,0.05381058083610803,0.8229045949371969
179,전라남도 곡성군,2023,1609,21132,0.07614045050160893,0.5593740262217005
180,전라남도 광양시,2023,15850,47254,0.3354213399923816,0.06847484325920457
