,date,region,region_code,touDivNm,visitors
168,20230101,안양시 만안구,41171,현지인(a),110204.5
169,20230101,안양시 만안구,41171,외지인(b),80052.0
170,20230101,안양시 동안구,41173,현지인(a),160342.0
171,20230101,안양시 동안구,41173,외지인(b),104076.0
172,20230101,부천시,41190,현지인(a),443208.5
173,20230101,부천시,41190,외지인(b),190253.0
174,20230101,광명시,41210,현지인(a),130277.0
175,20230101,광명시,41210,외지인(b),112038.5
176,20230101,평택시,41220,현지인(a),276923.5
177,20230101,평택시,41220,외지인(b),111643.0
178,20230101,동두천시,41250,현지인(a),46497.5
179,20230101,동두천시,41250,외지인(b),28616.0
180,20230101,안산시 상록구,41271,현지인(a),133581.0
181,20230101,안산시 상록구,41271,외지인(b),82670.0
182,20230101,안산시 단원구,41273,현지인(a),171216.5
183,20230101,안산시 단원구,41273,외지인(b),147553.0
184,20230101,고양시 덕양구,41281,현지인(a),249182.5
185,20230101,고양시 덕양구,41281,외지인(b),201239.5
186,20230101,고양시 일산동구,41285,현지인(a),181807.5
187,20230101,고양시 일산동구,41285,외지인(b),164507.0
188,20230101,고양시 일산서구,41287,현지인(a),146499.5
189,20230101,고양시 일산서구,41287,외지인(b),103509.0
190,20230101,과천시,41290,현지인(a),49899.5
191,20230101,과천시,41290,외지인(b),39788.0
192,20230101,구리시,41310,현지인(a),120900.5
193,20230101,구리시,41310,외지인(b),126644.0
194,20230101,남양주시,41360,현지인(a),373859.5
195,20230101,남양주시,41360,외지인(b),242798.5
196,20230101,오산시,41370,현지인(a),114849.0
197,20230101,오산시,41370,외지인(b),79684.5
198,20230101,시흥시,41390,현지인(a),200858.0
199,20230101,시흥시,41390,외지인(b),164363.5
200,20230101,군포시,41410,현지인(a),140266.0
201,20230101,군포시,41410,외지인(b),71757.0
202,20230101,의왕시,41430,현지인(a),66993.5
203,20230101,의왕시,41430,외지인(b),90881.0
204,20230101,하남시,41450,현지인(a),176631.0
205,20230101,하남시,41450,외지인(b),178454.5
206,20230101,용인시 처인구,41461,현지인(a),133836.5
207,20230101,용인시 처인구,41461,외지인(b),116571.0
208,20230101,용인시 기흥구,41463,현지인(a),224556.5
209,20230101,용인시 기흥구,41463,외지인(b),157822.0
210,20230101,용인시 수지구,41465,현지인(a),170355.5
211,20230101,용인시 수지구,41465,외지인(b),100758.0
212,20230101,파주시,41480,현지인(a),218830.5
213,20230101,파주시,41480,외지인(b),173047.0
214,20230101,이천시,41500,현지인(a),120995.0
215,20230101,이천시,41500,외지인(b),107957.5
216,20230101,안성시,41550,현지인(a),102812.5
217,20230101,안성시,41550,외지인(b),94381.0
218,20230101,김포시,41570,현지인(a),273717.5
219,20230101,김포시,41570,외지인(b),155162.0
220,20230101,화성시,41590,현지인(a),406406.0
221,20230101,화성시,41590,외지인(b),250026.0
222,20230101,광주시,41610,현지인(a),184019.5
223,20230101,광주시,41610,외지인(b),151385.5
224,20230101,양주시,41630,현지인(a),122384.5
225,20230101,양주시,41630,외지인(b),98448.0
226,20230101,포천시,41650,현지인(a),83034.0
227,20230101,포천시,41650,외지인(b),81980.5
228,20230101,여주시,41670,현지인(a),66783.5
229,20230101,여주시,41670,외지인(b),78120.0
230,20230101,연천군,41800,현지인(a),24041.5
231,20230101,연천군,41800,외지인(b),24923.5
232,20230101,가평군,41820,현지인(a),35343.0
233,20230101,가평군,41820,외지인(b),121859.5
234,20230101,양평군,41830,현지인(a),66262.0
235,20230101,양평군,41830,외지인(b),155211.0
236,20230101,청주시 상당구,43111,현지인(a),90734.0
237,20230101,청주시 상당구,43111,외지인(b),85960.0
238,20230101,청주시 서원구,43112,현지인(a),90975.5
239,20230101,청주시 서원구,43112,외지인(b),82096.0
240,20230101,청주시 흥덕구,43113,현지인(a),112794.5
241,20230101,청주시 흥덕구,43113,외지인(b),91640.5
